"Attribute","Glyph","Ruler Function"
":attr:`.arrowShaftThickness`","`uniEB60 (arrowBlackUp)`",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.barlineSeparation`","`uniE031 (barlineDouble)`",":func:`~.rulers.xDistanceBetweenContours`"
":attr:`.beamSpacing`","`uniE1F9 (textCont16thBeamShortStem)`",":func:`~.rulers.yDistanceBetweenContours`"
":attr:`.beamThickness`","`uniE1F7 (textCont8thBeamShortStem)`",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.bracketThickness`","`uniE003 (bracketTop)`",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.dashedBarlineDashLength`","`uniE036 (barlineDashed)`",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.dashedBarlineGapLength`","`uniE036 (barlineDashed)`",":func:`~.rulers.yDistanceBetweenContours`"
":attr:`.dashedBarlineThickness`","`uniE036 (barlineDashed)`",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.hairpinThickness`","`uniE53E (dynamicCrescendoHairpin)`",":func:`~.rulers.wedgeArmStrokeWidth`"
":attr:`.hBarThickness`","`uniE4F0 (restHBarMiddle)`",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.legerLineExtension`","`uniE022 (legerLine)`",":func:`~.rulers.glyphBoundsXMinAbs`"
":attr:`.legerLineThickness`","`uniE022 (legerLine)`",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.lyricLineThickness`","`uniE010 (staff1Line)`",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.octaveLineThickness`","`uniE010 (staff1Line)`",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.pedalLineThickness`","`uniE010 (staff1Line)`",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.repeatBarlineDotSeparation`","`uniE040 (repeatLeft)`",":func:`~.rulers.xDistanceStemToDot`"
":attr:`.repeatEndingLineThickness`","`uniE030 (barlineSingle)`",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.slurEndpointThickness`","`uniE1FD (textTie)`",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.slurMidpointThickness`","`uniE1FD (textTie)`",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.staffLineThickness`","`uniE010 (staff1Line)`",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.stemThickness`","`uniE210 (stem)`",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.subBracketThickness`","`uniE030 (barlineSingle)`",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.textEnclosureThickness`","`uniE010 (staff1Line)`",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.textFontFamily`","None","None"
":attr:`.thickBarlineThickness`","`uniE034 (barlineHeavy)`",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.thinBarlineThickness`","`uniE030 (barlineSingle)`",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.thinThickBarlineSeparation`","`uniE032 (barlineFinal)`",":func:`~.rulers.xDistanceBetweenContours`"
":attr:`.tieEndpointThickness`","`uniE1FD (textTie)`",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.tieMidpointThickness`","`uniE1FD (textTie)`",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.tupletBracketThickness`","`uniE1FE (textTupletBracketStartShortStem)`",":func:`~.rulers.xStrokeWidthAtOrigin`"
